Gene1	Gene2	EdgeWeight
UGR	UGR	360
SOX9	RSPO1	359
WNT4	RSPO1	358
SOX9	WNT4	357
CBX2	NR5A1	356
CBX2	CBX2	355
CTNNB1	SRY	354
WT1mKTS	CBX2	353
CTNNB1	RSPO1	352
RSPO1	CTNNB1	351
WNT4	SOX9	350
NR0B1	SOX9	349
CBX2	DMRT1	348
WT1pKTS	WT1mKTS	347
GATA4	DMRT1	346
DHH	DHH	345
RSPO1	SOX9	344
DKK1	DKK1	343
WT1mKTS	WNT4	342
WT1pKTS	SRY	341
NR5A1	WNT4	340
SRY	SRY	339
RSPO1	UGR	338
NR5A1	DMRT1	337
DKK1	NR5A1	336
CBX2	RSPO1	335
NR0B1	SRY	334
DKK1	GATA4	333
PGD2	PGD2	332
AMH	SRY	331
UGR	RSPO1	330
NR5A1	DKK1	329
PGD2	WT1mKTS	328
SOX9	PGD2	327
NR0B1	WT1pKTS	326
DMRT1	DKK1	325
FGF9	SRY	324
AMH	WT1mKTS	323
AMH	DMRT1	322
DKK1	RSPO1	321
WNT4	DKK1	320
SRY	DKK1	319
DMRT1	SRY	318
CBX2	UGR	317
WNT4	DMRT1	316
AMH	PGD2	315
SRY	CTNNB1	314
AMH	AMH	313
UGR	NR0B1	312
DMRT1	RSPO1	311
UGR	CBX2	310
DHH	SRY	309
NR0B1	WNT4	308
DMRT1	DMRT1	307
FOXL2	WT1mKTS	306
GATA4	GATA4	305
FGF9	WT1mKTS	304
UGR	CTNNB1	303
FOXL2	SRY	302
DHH	WT1mKTS	301
CTNNB1	NR0B1	300
GATA4	SRY	299
PGD2	DMRT1	298
SRY	DMRT1	297
WNT4	CBX2	296
DHH	DMRT1	295
FGF9	DKK1	294
CBX2	NR0B1	293
WT1mKTS	RSPO1	292
RSPO1	WNT4	291
PGD2	DKK1	290
WNT4	NR5A1	289
WT1mKTS	WT1mKTS	288
FGF9	NR5A1	287
UGR	NR5A1	286
GATA4	CBX2	285
DHH	NR5A1	284
SOX9	CBX2	283
WNT4	SRY	282
DMRT1	NR5A1	281
WT1pKTS	CBX2	280
FOXL2	DKK1	279
DMRT1	WNT4	278
FOXL2	CTNNB1	277
NR5A1	UGR	276
NR5A1	GATA4	275
AMH	NR5A1	274
NR0B1	GATA4	273
DMRT1	WT1mKTS	272
PGD2	SRY	271
DHH	WT1pKTS	270
WT1mKTS	NR0B1	269
CTNNB1	CBX2	268
CTNNB1	DMRT1	267
FOXL2	GATA4	266
GATA4	UGR	265
RSPO1	DMRT1	264
AMH	DKK1	263
FOXL2	DMRT1	262
WT1pKTS	DMRT1	261
DKK1	SRY	260
DKK1	DMRT1	259
CBX2	WNT4	258
SOX9	DMRT1	257
DKK1	AMH	256
DKK1	WT1mKTS	255
WT1mKTS	DKK1	254
SRY	WNT4	253
NR5A1	WT1mKTS	252
CTNNB1	UGR	251
NR5A1	RSPO1	250
AMH	WT1pKTS	249
FGF9	DMRT1	248
NR0B1	RSPO1	247
CTNNB1	WT1mKTS	246
GATA4	WT1mKTS	245
PGD2	NR5A1	244
CTNNB1	DKK1	243
UGR	DKK1	242
RSPO1	NR5A1	241
NR0B1	AMH	240
CBX2	DKK1	239
WT1pKTS	UGR	238
SRY	GATA4	237
SRY	WT1mKTS	236
