"","DB","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","REACTOME","AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408",6.65167821841451e-06,0.000178842402574248,0.55650897099741,3.75391904221581,0,51,"PABPC1;PSMB1;UBB;PSMA2;HSPA8;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;HSPB1;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;HSPA1A;HNRNPD;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;EIF4G1;PSMD14"
"2","REACTOME","Antigen processing-Cross presentation Homo sapiens R-HSA-1236975",7.70421960107551e-06,0.000178842402574248,0.526809783948952,3.74800161764334,0,60,"PSMB1;UBB;PSMA2;CD36;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;SEC61B;PSMB7;CYBA;PSMC2;CALR;PDIA3;PSMD13;B2M;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;CTSL;PSMC3;PSMD12;PSMC4;TAPBP;PSMB8;SEC61A1;PSMC5;UBA52;SEC61G;ITGAV;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"3","REACTOME","DNA Replication Pre-Initiation Homo sapiens R-HSA-69002",7.59220735836737e-06,0.000178842402574248,0.519472924786242,3.67447393508701,0,59,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;DBF4;RPA2;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;RPA3;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"4","REACTOME","M/G1 Transition Homo sapiens R-HSA-68874",7.59220735836737e-06,0.000178842402574248,0.519472924786242,3.67447393508701,0,59,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;DBF4;RPA2;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;RPA1;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;RPA3;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"5","REACTOME","ER-Phagosome pathway Homo sapiens R-HSA-1236974",7.10237361326155e-06,0.000178842402574248,0.520172867012701,3.59838442726116,0,55,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;SEC61B;PSMB7;PSMC2;CALR;PDIA3;PSMD13;B2M;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;TAPBP;PSMB8;SEC61A1;PSMC5;UBA52;SEC61G"
"6","REACTOME","The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276",6.4259505587364e-06,0.000178842402574248,0.533025821427581,3.54812342926192,0,49,"HSP90AB1;CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;HSP90AA1;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"7","REACTOME","Ubiquitin-dependent degradation of Cyclin D1 Homo sapiens R-HSA-69229",6.19962802231866e-06,0.000178842402574248,0.539375133911909,3.543525999168,0,47,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"8","REACTOME","Ubiquitin-dependent degradation of Cyclin D Homo sapiens R-HSA-75815",6.19962802231866e-06,0.000178842402574248,0.539375133911909,3.543525999168,0,47,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"9","REACTOME","Assembly of the pre-replicative complex Homo sapiens R-HSA-68867",7.10237361326155e-06,0.000178842402574248,0.504270000109631,3.48837363615348,0,55,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
"10","REACTOME","Regulation of ornithine decarboxylase (ODC) Homo sapiens R-HSA-350562",6.10262168627642e-06,0.000178842402574248,0.533639635040216,3.47958187784835,0,46,"PSMB1;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;ODC1;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;OAZ1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;OAZ2;PSMD12;PSMC4;PSMB8;PSMC5;AZIN1;PSMD10;PSMC1;PSMD2;PSMB10;PSMD14"
"11","REACTOME","SCF(Skp2)-mediated degradation of p27/p21 Homo sapiens R-HSA-187577",6.53834083063082e-06,0.000178842402574248,0.516302790943231,3.46087694897239,0,50,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;CCND1;CKS1B;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;CDK4;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52"
"12","REACTOME","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768",6.74959671159648e-06,0.000178842402574248,0.508665897812535,3.4554190887368,0,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;SEL1L;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;ERLEC1;PSMC1;OS9;PSMD2;SHH;PSMB10;PSMD14"
"13","REACTOME","Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390",6.74959671159648e-06,0.000178842402574248,0.508665897812535,3.4554190887368,0,52,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;SEL1L;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;ERLEC1;PSMC1;OS9;PSMD2;SHH;PSMB10;PSMD14"
"14","REACTOME","Vif-mediated degradation of APOBEC3G Homo sapiens R-HSA-180585",6.4259505587364e-06,0.000178842402574248,0.518648705923853,3.45242116060379,0,49,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;TCEB2;PSMD10;TCEB1;RBX1;PSMC1;PSMD2;PSMB10;PSMD14"
"15","REACTOME","Regulation of RAS by GAPs Homo sapiens R-HSA-5658442",7.2156840107658e-06,0.000178842402574248,0.495187600284281,3.44666661782072,0,56,"PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;PSMB7;PSMC2;PSMD13;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;RASA2;PSMC3;PSMD12;PSMC4;KRAS;HRAS;PSMB8;PSMC5;UBA52;PSMD10;RBX1;PSMC1;PSMD2;PSMB10;PSMD14;NF1"
"16","REACTOME","Integrin cell surface interactions Homo sapiens R-HSA-216083",3.79957976647783e-06,0.000178842402574248,0.711285683033584,3.44386321075691,0,21,"THBS1;CDH1;COL4A4;COL4A3;DAG1;ICAM1;COL4A2;BSG;AGRN;HSPG2;COL4A1;ITGB1;ITGA3;ITGB6;ITGA6;ITGAV;F11R;ITGB3;ITGA9"
"17","REACTOME","Regulation of DNA replication Homo sapiens R-HSA-69304",7.59220735836737e-06,0.000178842402574248,0.485473359766351,3.43397917682547,0,59,"CDKN1A;PSMB1;UBB;PSMA2;PSMA5;PSMA6;PSMD8;PSMB6;PSMB4;PSMB5;UBC;PSMB2;PSMA3;PSMA4;PSMD4;PSMB3;PSMA7;PSME1;E2F1;GMNN;PSMB7;PSMC2;ORC6;PSMD13;MCM6;PSMA1;PSMC6;PSMD6;PSMD7;PSME2;MCM7;MCM2;PSMC3;PSMD12;PSMC4;PSMB8;PSMC5;UBA52;PSMD10;PSMC1;E2F2;PSMD2;PSMB10;PSMD14"
