Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.469130	1.000000	0.710449
FGF9	+	DMRT1	0.144640	0.985541	0.215876
RSPO1	+	DMRT1	0.187368	0.999601	0.283637
DHH	+	DMRT1	0.044042	0.106685	0.007116
CTNNB1	-	DMRT1	-0.212935	0.999477	-0.322300
PGD2	-	DMRT1	-0.004660	0.103826	-0.000733
WT1mKTS	+	DMRT1	0.171805	0.991357	0.257932
SRY	+	DMRT1	0.045917	0.060334	0.004195
DKK1	+	DMRT1	0.354539	1.000000	0.536913
WNT4	+	DMRT1	0.289574	0.000000	0.000000
CBX2	-	DMRT1	-0.139498	0.999846	-0.211222
AMH	+	DMRT1	0.003101	0.089219	0.000419
NR0B1	+	DMRT1	0.139129	0.990680	0.208733
NR5A1	+	DMRT1	0.238892	0.000000	0.000000
WT1pKTS	+	DMRT1	0.050425	0.047412	0.003621
FOXL2	-	DMRT1	-0.048759	0.427140	-0.031540
UGR	-	DMRT1	-0.013514	0.050203	-0.001027
SOX9	+	DMRT1	0.133816	0.833809	0.168971
GATA4	+	DMRT1	0.108370	0.124618	0.020452
DMRT1	+	FGF9	0.011239	0.056842	0.000968
FGF9	+	FGF9	0.285076	1.000000	0.431718
RSPO1	-	FGF9	-0.008467	0.031328	-0.000402
DHH	+	FGF9	0.317739	1.000000	0.481183
CTNNB1	+	FGF9	0.009578	0.033240	0.000482
PGD2	+	FGF9	0.257135	1.000000	0.389404
WT1mKTS	-	FGF9	-0.049845	0.848475	-0.064048
SRY	-	FGF9	-0.031799	0.404459	-0.019477
DKK1	-	FGF9	-0.007015	0.094364	-0.001002
WNT4	+	FGF9	0.008514	0.043236	0.000557
CBX2	-	FGF9	-0.003376	0.040000	-0.000205
AMH	+	FGF9	0.267710	1.000000	0.405420
NR0B1	-	FGF9	-0.055613	0.652333	-0.054940
NR5A1	-	FGF9	-0.028663	0.346985	-0.015062
WT1pKTS	+	FGF9	0.081610	0.037032	0.004577
FOXL2	-	FGF9	-0.102548	0.568024	-0.088213
UGR	-	FGF9	-0.039364	0.185695	-0.011070
SOX9	+	FGF9	0.120646	0.933823	0.170615
GATA4	+	FGF9	0.069272	0.026760	0.002807
DMRT1	+	RSPO1	0.059964	0.847725	0.076981
FGF9	-	RSPO1	-0.022771	0.140698	-0.004852
RSPO1	+	RSPO1	0.482857	1.000000	0.731238
DHH	-	RSPO1	-0.018393	0.120782	-0.003364
CTNNB1	+	RSPO1	0.155413	0.999990	0.235354
PGD2	-	RSPO1	-0.027395	0.168940	-0.007009
WT1mKTS	-	RSPO1	-0.000594	0.085909	-0.000077
SRY	+	RSPO1	0.010031	0.083518	0.001269
