SourceGENES,TargetGENES,Interaction,Edges
WT1mKTS,AMH,1,activation
WT1mKTS,PGD2,0.78814176433243,repression
WT1mKTS,DHH,0.707016867805994,activation
WT1mKTS,FGF9,0.669887703521082,repression
WT1mKTS,DMRT1,0.559306001624365,activation
RSPO1,DKK1,0.525975967825123,repression
WT1mKTS,SOX9,0.490494444334611,activation
RSPO1,DHH,0.438159447272889,repression
RSPO1,FGF9,0.430223548147761,repression
FOXL2,AMH,0.399389387619138,repression
RSPO1,DMRT1,0.30761466831334,activation
RSPO1,PGD2,0.298037970570304,repression
AMH,AMH,0.253352930422352,activation
WT1mKTS,WNT4,0.208333250019193,activation
NR5A1,SOX9,0.188167209106645,activation
AMH,DMRT1,0.170815480587924,repression
DMRT1,AMH,0.163078783738863,repression
FOXL2,CTNNB1,0.150224613671816,activation
WT1mKTS,FOXL2,0.143394566475728,activation
FOXL2,RSPO1,0.139411194389359,activation
FOXL2,FOXL2,0.13885413992698,activation
PGD2,AMH,0.130520782713493,activation
WT1mKTS,DKK1,0.130109564201583,activation
FOXL2,DMRT1,0.128878552259774,activation
NR5A1,CBX2,0.12487589233451,activation
RSPO1,NR0B1,0.124445903960411,activation
AMH,DKK1,0.123844101901971,activation
RSPO1,WNT4,0.123640028261659,activation
DMRT1,FGF9,0.122668429422498,activation
AMH,FGF9,0.121955364801004,repression
WT1mKTS,NR0B1,0.119019811475208,activation
DKK1,PGD2,0.116203571029946,repression
DMRT1,PGD2,0.114957784100263,repression
PGD2,DHH,0.0986009382051597,repression
NR5A1,CTNNB1,0.0908583135802218,repression
NR5A1,RSPO1,0.0905958452797134,repression
WT1mKTS,WT1mKTS,0.0896316941366483,activation
NR5A1,UGR,0.0850567259056212,repression
WT1mKTS,GATA4,0.0828245371798258,activation
RSPO1,SRY,0.0799559434843691,repression
AMH,DHH,0.0793091716918743,activation
DKK1,SOX9,0.0790294093833527,activation
AMH,PGD2,0.0783848534507753,activation
RSPO1,UGR,0.0782714379089359,repression
DKK1,FGF9,0.0781748565730528,repression
DKK1,WNT4,0.0748898291344708,activation
FOXL2,DKK1,0.0729500013460738,repression
PGD2,PGD2,0.0690281029203292,activation
DMRT1,WNT4,0.0671550272798412,activation
AMH,FOXL2,0.0641949169565388,repression
RSPO1,RSPO1,0.0618898826791875,activation
DKK1,NR0B1,0.0612350740834723,activation
PGD2,FGF9,0.0573735489199891,repression
