Gene1	Gene2	Score
CTNNB1	RSPO1	0.953949291418085
RSPO1	CTNNB1	0.953949291418085
CTNNB1	FOXL2	0.949184839910176
RSPO1	FOXL2	0.943427609884477
WNT4	FOXL2	0.911291368126481
CTNNB1	WT1pKTS	-0.910989015225174
RSPO1	WT1pKTS	-0.905922033107609
WNT4	WT1pKTS	-0.895160376365131
WNT4	NR5A1	-0.890687907666812
WNT4	CTNNB1	0.890390811125388
NR0B1	FOXL2	0.881637284925717
WNT4	RSPO1	0.880451261373209
UGR	CBX2	0.879887394024475
UGR	WT1pKTS	0.879887161815316
WNT4	CBX2	-0.877495174256708
DKK1	DMRT1	0.876666709188699
DMRT1	DKK1	0.876666709188699
NR0B1	WT1pKTS	-0.873469675282606
CTNNB1	NR5A1	-0.87197235532868
UGR	FOXL2	-0.869525584666949
UGR	NR5A1	0.86836633316324
NR0B1	NR5A1	-0.867333299157666
NR0B1	RSPO1	0.866406773503662
RSPO1	NR5A1	-0.865962403377153
NR0B1	WNT4	0.86582326101374
WNT4	NR0B1	0.86582326101374
NR0B1	CTNNB1	0.858049390151193
NR0B1	CBX2	-0.857872539619478
UGR	RSPO1	-0.85082686932634
UGR	CTNNB1	-0.848355968283939
CBX2	NR5A1	0.84661826508857
WNT4	UGR	-0.84510794816585
NR5A1	WT1pKTS	0.834012756174465
NR0B1	UGR	-0.831274241354774
UGR	WNT4	-0.830179133193735
FOXL2	WT1pKTS	-0.817358074946902
CBX2	FOXL2	-0.806392472646322
UGR	NR0B1	-0.798487230388707
CBX2	WT1pKTS	0.797408756087238
NR5A1	FOXL2	-0.793490934238295
CBX2	CTNNB1	-0.791261907244032
CBX2	RSPO1	-0.788293416161808
CTNNB1	CBX2	-0.758888323862875
RSPO1	CBX2	-0.758442501411243
WT1pKTS	FOXL2	-0.754939293460242
WT1mKTS	UGR	-0.746602512261223
GATA4	UGR	-0.738562141771459
SOX9	DKK1	0.734720964367869
DKK1	SOX9	0.734720964367869
WT1mKTS	NR5A1	-0.725511562925855
WT1mKTS	CBX2	-0.721770825136623
NR5A1	CTNNB1	-0.719452196741548
GATA4	NR5A1	-0.715504728084152
UGR	SRY	0.714492191681716
NR5A1	RSPO1	-0.71389020906382
GATA4	CBX2	-0.7129477457038
FOXL2	CTNNB1	0.711188241562555
RSPO1	WNT4	0.708635703844932
FOXL2	RSPO1	0.708626305800779
CTNNB1	WNT4	0.705984087040161
WT1pKTS	NR5A1	0.703861003559216
GATA4	RSPO1	0.701106933336599
WT1mKTS	CTNNB1	0.698024194461322
WT1mKTS	RSPO1	0.696042331253164
WT1mKTS	WNT4	0.689695109853629
NR5A1	CBX2	0.68692398822328
SOX9	DMRT1	0.683509142331975
DMRT1	SOX9	0.683509142331975
GATA4	CTNNB1	0.67911798359221
GATA4	WNT4	0.677961825052438
CBX2	UGR	0.677891446358
RSPO1	NR0B1	0.675985163062106
CTNNB1	NR0B1	0.673872212861762
FOXL2	NR5A1	-0.673021978514017
CBX2	SRY	0.670395176536729
GATA4	WT1mKTS	0.667010586478212
WT1mKTS	GATA4	0.667010586478212
WNT4	SRY	-0.661954401424269
NR0B1	SRY	-0.659360478138278
CTNNB1	UGR	-0.653822067637615
WT1mKTS	NR0B1	0.65138004281503
RSPO1	UGR	-0.650869429007582
GATA4	NR0B1	0.649230145482529
WT1mKTS	SRY	-0.627593564414246
GATA4	SRY	-0.624244675987687
WT1mKTS	FOXL2	0.60335575608765
WT1mKTS	WT1pKTS	-0.602229364328181
GATA4	WT1pKTS	-0.59392824846569
GATA4	FOXL2	0.593258857286021
CBX2	WNT4	-0.566307072665348
NR0B1	WT1mKTS	0.558305411412891
NR5A1	SRY	0.556670860824098
WNT4	WT1mKTS	0.550147151955781
NR0B1	GATA4	0.541694689309686
WNT4	GATA4	0.538507679865739
FOXL2	CBX2	-0.516563456810446
CBX2	NR0B1	-0.513674982109544
WT1pKTS	CBX2	0.50148275841749
FOXL2	WNT4	0.497850817289529
SRY	NR5A1	0.492414960949333
WT1pKTS	SRY	0.458884059300599
SRY	WT1pKTS	0.458884059300599
CTNNB1	SRY	-0.456137079193711
RSPO1	SRY	-0.454293077529251
WT1pKTS	CTNNB1	-0.433672426305153
WT1pKTS	RSPO1	-0.433239250506012
FOXL2	UGR	-0.432501517371191
FOXL2	NR0B1	0.42437748442453
DKK1	SRY	0.404497231267368
SRY	DKK1	0.404497231267368
FOXL2	WT1mKTS	0.383901881781441
FOXL2	GATA4	0.378077450013202
SRY	DMRT1	0.376080642170576
DMRT1	SRY	0.376080642170576
CTNNB1	WT1mKTS	0.37370714130218
RSPO1	WT1mKTS	0.368075418692499
WT1pKTS	GATA4	-0.367362976363411
SRY	RSPO1	0.363500348896753
NR5A1	UGR	0.358162641211424
CTNNB1	GATA4	0.352134962204644
RSPO1	GATA4	0.349729727098505
SRY	FOXL2	-0.349331870050909
NR5A1	GATA4	-0.348446857368591
UGR	DKK1	0.34517843460909
UGR	DMRT1	0.336137522802324
UGR	GATA4	-0.326425399812066
UGR	WT1mKTS	-0.325641280813429
CBX2	DMRT1	0.323926715493751
SRY	NR0B1	0.320932785250579
CBX2	DKK1	0.312367642132576
SRY	CBX2	-0.311560801694292
SRY	UGR	-0.309514281165854
WT1pKTS	WNT4	0.306710026400912
NR0B1	DKK1	-0.303906281381209
FOXL2	SRY	-0.303204162741051
NR5A1	WNT4	-0.303183269467013
WNT4	DKK1	-0.297365137479861
WT1pKTS	UGR	-0.294186067632023
WNT4	DMRT1	-0.289114035409497
SRY	CTNNB1	0.287920055930681
NR0B1	DMRT1	-0.287492708146326
SOX9	SRY	0.28284104951501
SRY	SOX9	0.28284104951501
WT1mKTS	DKK1	-0.281436913498291
GATA4	DKK1	-0.281392954068917
WT1pKTS	WT1mKTS	-0.281357114359866
CBX2	GATA4	-0.270349778452107
GATA4	SOX9	-0.269896705563652
SRY	WNT4	0.262942345531049
NR5A1	DKK1	0.262794418098196
SRY	GATA4	0.262011584430249
UGR	SOX9	0.25900110314008
NR5A1	NR0B1	-0.256005598798351
NR5A1	DMRT1	0.255417103512405
WT1mKTS	DMRT1	-0.254989742114376
WT1mKTS	SOX9	-0.252097391393835
GATA4	DMRT1	-0.241555817839186
CBX2	SOX9	0.238496025035087
WT1pKTS	DKK1	0.238211747885908
WT1pKTS	DMRT1	0.228263852796945
DMRT1	RSPO1	0.226520927910098
NR5A1	WT1mKTS	-0.226049817445156
DKK1	RSPO1	0.224394860167108
NR0B1	SOX9	-0.207780097937022
WNT4	SOX9	-0.206728281823344
DKK1	NR0B1	0.203785083029456
RSPO1	DKK1	-0.203581446099623
