1	14.23	3.06	3.92	
1	13.2	2.76	3.4	
1	13.16	3.24	3.17	
1	14.37	3.49	3.45	
1	13.24	2.69	2.93	
1	14.2	3.39	2.85	
1	14.39	2.52	3.58	
1	14.06	2.51	3.58	
1	14.83	2.98	2.85	
1	13.86	3.15	3.55	
1	14.1	3.32	3.17	
1	14.12	2.43	2.82	
1	13.75	2.76	2.9	
1	14.75	3.69	2.73	
1	14.38	3.64	3	
1	13.63	2.91	2.88	
1	14.3	3.14	2.65	
1	13.83	3.4	2.57	
1	14.19	3.93	2.82	
1	13.64	3.03	3.36	
1	14.06	3.17	3.71	
1	12.93	2.41	3.52	
1	13.71	2.88	4	
1	12.85	2.37	3.63	
1	13.5	2.61	3.82	
1	13.05	2.68	3.2	
1	13.39	2.94	3.22	
1	13.3	2.19	2.77	
1	13.87	2.97	3.4	
1	14.02	2.33	3.59	
1	13.73	3.25	2.71	
1	13.58	3.19	2.88	
1	13.68	2.69	2.87	
1	13.76	2.74	3	
1	13.51	2.53	2.87	
1	13.48	2.98	3.47	
1	13.28	2.68	2.78	
1	13.05	2.43	2.51	
1	13.07	2.64	2.69	
1	14.22	3.04	3.53	
1	13.56	3.29	3.38	
1	13.41	2.68	3	
1	13.88	3.56	3.56	
1	13.24	2.63	3	
1	13.05	3	3.35	
1	14.21	2.65	3.33	
1	14.38	3.17	3.44	
1	13.9	3.39	3.33	
1	14.1	2.92	2.75	
1	13.94	3.54	3.1	
1	13.05	3.27	2.91	
1	13.83	2.99	3.37	
1	13.82	3.74	3.26	
1	13.77	2.79	2.93	
1	13.74	2.9	3.2	
1	13.56	2.78	3.03	
1	14.22	3	3.31	
1	13.29	3.23	2.84	
1	13.72	3.67	2.87	
2	12.37	0.57	1.82	
2	12.33	1.09	1.67	
2	12.64	1.41	1.59	
2	13.67	1.79	2.46	
2	12.37	3.1	2.87	
2	12.17	1.75	2.23	
2	12.37	2.65	2.3	
2	13.11	3.18	3.18	
2	12.37	2	3.48	
2	13.34	1.3	1.93	
2	12.21	1.28	3.07	
2	12.29	1.02	1.82	
2	13.86	2.86	3.16	
2	13.49	1.84	2.78	
2	12.99	2.89	3.5	
2	11.96	2.14	3.13	
2	11.66	1.57	2.14	
2	13.03	2.03	2.48	
2	11.84	1.32	2.52	
2	12.33	1.85	2.31	
2	12.7	2.55	3.13	
2	12	2.26	3.12	
2	12.72	2.53	3.14	
2	12.08	1.58	2.72	
2	13.05	1.59	2.01	
2	11.84	2.21	3.08	
2	12.67	1.94	3.16	
2	12.16	1.69	2.26	
2	11.65	1.61	3.21	
2	11.64	1.69	2.75	
2	12.08	1.59	3.21	
2	12.08	1.5	2.27	
2	12	1.25	2.65	
2	12.69	1.46	2.06	
2	12.29	2.25	3.3	
2	11.62	2.26	2.96	
2	12.47	2.27	2.63	
2	11.81	0.99	2.26	
2	12.29	2.5	2.74	
2	12.37	3.75	2.77	
2	12.29	2.99	2.83	
2	12.08	2.17	2.96	
2	12.6	1.36	2.77	
2	12.34	2.11	3.38	
2	11.82	1.64	2.44	
2	12.51	1.92	3.57	
2	12.42	1.84	3.3	
2	12.25	2.03	3.17	
2	12.72	1.76	2.42	
2	12.22	2.04	3.02	
2	11.61	2.92	3.26	
2	11.46	2.58	2.81	
2	12.52	2.27	2.78	
2	11.76	2.03	2.5	
2	11.41	2.01	2.31	
2	12.08	2.29	3.19	
2	11.03	2.17	2.87	
2	11.82	1.6	3.33	
2	12.42	2.09	2.96	
2	12.77	1.25	2.12	
2	12	1.64	3.05	
2	11.45	2.79	3.39	
2	11.56	5.08	3.69	
2	12.42	2.13	3.12	
2	13.05	2.65	3.1	
2	11.87	3.03	3.64	
2	12.07	2.65	3.28	
2	12.43	3.15	2.84	
2	11.79	2.24	2.44	
2	12.37	2.45	2.78	
2	12.04	1.75	2.57	
3	12.86	1.25	1.29	
3	12.88	1.22	1.42	
3	12.81	1.09	1.36	
3	12.7	1.2	1.29	
3	12.51	0.58	1.51	
3	12.6	0.66	1.58	
3	12.25	0.47	1.27	
3	12.53	0.6	1.69	
3	13.49	0.48	1.82	
3	12.84	0.6	2.15	
3	12.93	0.5	2.31	
3	13.36	0.5	2.47	
3	13.52	0.52	2.06	
3	13.62	0.8	2.05	
3	12.25	0.78	2	
3	13.16	0.55	1.68	
3	13.88	0.34	1.33	
3	12.87	0.65	1.86	
3	13.32	0.76	1.62	
3	13.08	1.39	1.33	
3	13.5	1.57	1.3	
3	12.79	1.36	1.47	
3	13.11	1.28	1.33	
3	13.23	0.83	1.51	
3	12.58	0.58	1.55	
3	13.17	0.63	1.48	
3	13.84	0.83	1.64	
3	12.45	0.58	1.73	
3	14.34	1.31	1.96	
3	13.48	1.1	1.78	
3	12.36	0.92	1.58	
3	13.69	0.56	1.82	
3	12.85	0.6	2.11	
3	12.96	0.7	1.75	
3	13.78	0.68	1.68	
3	13.73	0.47	1.75	
3	13.45	0.92	1.56	
3	12.82	0.66	1.75	
3	13.58	0.84	1.8	
3	13.4	0.96	1.92	
3	12.2	0.49	1.83	
3	12.77	0.51	1.63	
3	14.16	0.7	1.71	
3	13.71	0.61	1.74	
3	13.4	0.75	1.56	
3	13.27	0.69	1.56	
3	13.17	0.68	1.62	
3	14.13	0.76	1.6	
