1	1	0.99539	0.85243	0.83398	
2	1	1	0.93035	-0.10868	
1	1	1	1	1	
2	1	1	1	0.71216	
1	1	1	0.9414	0.92106	
2	1	0.02337	-0.09924	-0.00763	
1	1	0.97588	0.94601	0.92806	
2	0	0	0	1	
1	1	0.96355	1	1	
2	1	-0.01864	0	0	
1	1	1	1	1	
2	1	1	1	1	
1	1	1	1	0.99999	
2	1	1	1	0.85492	
1	1	1	1	1	
2	1	0.50932	1	-0.0352	
1	1	0.99645	1	0.97811	
2	0	0	-1	1	
1	1	0.67065	0.66626	0.57197	
2	0	1	0	0	
1	1	1	1	1	
2	0	1	0	0	
1	1	0.96071	1	1	
2	0	-1	0	0	
1	1	1	1	1	
2	1	1	1	1	
1	1	1	1	0.86635	
2	0	-1	0	-1	
1	1	1	1	1	
2	0	-1	1	1	
1	1	1	1	1	
2	1	1	1	1	
1	1	0.88208	0.93408	0.921	
2	1	0.71253	0.41287	0.98019	
1	1	1	0.72314	0.83443	
2	1	0.66161	1	1	
1	1	1	1	1	
2	0	1	1	0	
1	1	0.91241	0.94191	0.94705	
2	1	1	0.99672	0.97545	
1	1	1	1	1	
2	1	-1	1	1	
1	1	0.90932	0.86528	1	
2	1	-0.64286	1	1	
1	1	0.99025	0.99793	0.98663	
2	0	0	0	0	
1	1	1	1	0.99601	
2	1	0.94598	-1	-0.36393	
1	1	0.98166	0.98103	0.97565	
2	1	0	1	0	
1	1	0.84134	0.43644	0.93421	
2	0	1	1	0	
1	1	1	1	0.9101	
2	1	-0.67935	-1	1	
1	1	0.95659	0.97487	0.97165	
2	1	0.08333	-1	-1	
1	1	1	1	1	
2	0	-1	1	-1	
1	1	1	0.94525	0.99952	
2	1	0.17188	-1	0	
1	1	1	1	1	
2	1	0.01667	0	0	
1	1	1	0.99352	0.94616	
2	1	0.63816	0.20833	1	
1	1	1	1	0.8706	
2	1	0.84783	1	1	
1	1	1	1	1	
2	0	1	1	1	
1	1	1	0.81309	0.43019	
2	1	1	1	1	
1	1	1	1	1	
2	0	1	1	-1	
1	1	0.96087	0.9676	0.96026	
2	1	0.69444	0	-0.32937	
1	1	1	1	1	
2	0	1	0	1	
1	1	1	1	1	
2	0	1	1	1	
1	1	1	1	1	
2	0	1	1	1	
1	1	1	1	1	
2	0	1	1	1	
1	1	0.92277	0.92679	0.89702	
2	1	0.68198	0.82332	0.46643	
1	1	0.74852	0.6568	0.80621	
2	1	0.39179	0.97464	1	
1	1	0.67547	0.76981	0.77358	
2	1	0.72727	0.89241	1	
1	1	0.57647	0.40392	0.38431	
2	1	0.41932	0.35	0.23182	
1	1	0.88305	1	0.82403	
2	1	0.84557	-0.31745	-0.08961	
1	1	0.7087	0.64348	0.45217	
2	1	-0.5418	-0.33746	0.52012	
1	1	0.29202	0.45331	0.51783	
2	1	0.79157	0	0.56541	
1	1	0.90116	0.79299	0.7299	
1	1	0.97714	0.82683	0.71771	
2	1	-1	0	0.50814	
1	1	0.74084	0.79074	0.78575	
2	1	1	0	0.77941	
1	1	1	0.96215	1	
2	0	0	0	0	
1	1	0.95704	0.63318	0.96365	
2	1	0.28409	0	0.68182	
1	1	0.9449	1	0.98898	
2	1	0	0	0	
1	1	0.99449	0.84082	0.88237	
2	1	0.10135	0	0	
1	1	1	0.9915	0.89518	
2	1	0.65909	0	0	
1	1	0.86284	0.8092	0.67203	
2	1	0.42	0	1	
1	1	1	0.91404	0.7802	
2	1	0.91353	-0.72973	-0.39466	
1	1	0.21429	0.33333	0.19048	
2	1	1	1	0.57377	
1	1	0.98182	0.88627	0.86249	
2	1	0.39286	-0.78824	-0.16628	
1	1	0.86889	1	1	
2	1	0.43636	0.58182	0.18182	
1	1	1	1	0.49057	
2	1	0.7381	-0.7619	0.33333	
1	1	0.4375	0.58333	0.39583	
2	1	1	0	0	
1	1	0.95217	0.93614	0.90996	
2	1	0.5984	0.82809	0.76001	
1	1	0.95882	1	0.98313	
2	1	0	-0.33672	0	
1	1	0.96933	1	0.98658	
2	1	0	0.98919	0.18919	
1	1	0.64122	0.34146	0.52751	
2	1	1	1	0	
1	1	0.34694	0.46939	0.40816	
2	1	0	1	0	
1	1	0.89706	0.91176	0.74265	
2	1	-1	0.22222	-0.75693	
1	1	0.26667	0.53333	0.33333	
2	1	-0.26667	-0.27303	-0.17778	
1	1	1	0.64865	0.64865	
2	1	0.94531	-1	-1	
1	1	0.95202	0.93757	0.93526	
2	1	1	1	0.5	
1	1	0.31034	0.24138	0.2069	
2	1	0.62745	0.72549	0.60784	
1	1	0.25	0.46667	0.19036	
2	1	-0.65625	0.0625	0	
1	1	1	1	1	
2	1	0.85271	1	1	
1	1	0.90374	1	1	
2	1	-0.205	0.23	0.2825	
